"","PDGFNS3_aligned.bam"
"ENSRNOG00000058224",0
"ENSRNOG00000067930",0
"ENSRNOG00000016597",111
"ENSRNOG00000064367",0
"ENSRNOG00000064092",0
"ENSRNOG00000067132",0
"ENSRNOG00000068454",0
"ENSRNOG00000018953",0
"ENSRNOG00000069628",8
"ENSRNOG00000062564",232
"ENSRNOG00000065292",0
"ENSRNOG00000018940",10
"ENSRNOG00000068976",16
"ENSRNOG00000013945",403
"ENSRNOG00000068368",0
"ENSRNOG00000070203",0
"ENSRNOG00000065397",6
"ENSRNOG00000040447",0
"ENSRNOG00000033706",0
"ENSRNOG00000031947",5960
"ENSRNOG00000016565",440
"ENSRNOG00000066104",0
"ENSRNOG00000066508",1
"ENSRNOG00000061455",0
"ENSRNOG00000019138",767
"ENSRNOG00000015424",0
"ENSRNOG00000013198",0
"ENSRNOG00000056351",0
"ENSRNOG00000065052",0
"ENSRNOG00000035572",1
"ENSRNOG00000069359",0
"ENSRNOG00000069866",0
"ENSRNOG00000068014",11
"ENSRNOG00000065728",0
"ENSRNOG00000065649",114
"ENSRNOG00000066961",4
"ENSRNOG00000068275",0
"ENSRNOG00000053559",0
"ENSRNOG00000035553",0
"ENSRNOG00000056667",0
"ENSRNOG00000064785",1
"ENSRNOG00000050663",0
"ENSRNOG00000064423",0
"ENSRNOG00000063455",0
"ENSRNOG00000016574",623
"ENSRNOG00000055971",2
"ENSRNOG00000068157",0
"ENSRNOG00000032137",0
"ENSRNOG00000050364",0
"ENSRNOG00000060473",1
"ENSRNOG00000068108",0
"ENSRNOG00000055608",16
"ENSRNOG00000064687",0
"ENSRNOG00000048436",0
"ENSRNOG00000013641",150
"ENSRNOG00000020347",4114
"ENSRNOG00000065259",8
"ENSRNOG00000035588",0
"ENSRNOG00000053464",0
"ENSRNOG00000016837",0
"ENSRNOG00000069139",0
"ENSRNOG00000068222",0
"ENSRNOG00000025953",0
"ENSRNOG00000066571",0
"ENSRNOG00000068350",1
"ENSRNOG00000061525",0
"ENSRNOG00000046704",0
"ENSRNOG00000034083",0
"ENSRNOG00000057516",0
"ENSRNOG00000053512",0
"ENSRNOG00000016608",335
"ENSRNOG00000027112",0
"ENSRNOG00000069192",0
"ENSRNOG00000012730",1116
"ENSRNOG00000068539",2
"ENSRNOG00000052937",0
"ENSRNOG00000018117",792
"ENSRNOG00000049017",0
"ENSRNOG00000051561",0
"ENSRNOG00000067136",0
"ENSRNOG00000063952",0
"ENSRNOG00000068720",1
"ENSRNOG00000016362",0
"ENSRNOG00000056231",0
"ENSRNOG00000063054",0
"ENSRNOG00000013671",0
"ENSRNOG00000017307",1392
"ENSRNOG00000065133",0
"ENSRNOG00000066105",0
"ENSRNOG00000064098",0
"ENSRNOG00000035580",0
"ENSRNOG00000056252",0
"ENSRNOG00000067915",0
"ENSRNOG00000015649",0
"ENSRNOG00000054785",0
"ENSRNOG00000020942",157
"ENSRNOG00000069629",0
"ENSRNOG00000065481",0
"ENSRNOG00000032600",0
"ENSRNOG00000067951",0
"ENSRNOG00000067817",0
"ENSRNOG00000017749",0
"ENSRNOG00000061288",0
"ENSRNOG00000017079",397
"ENSRNOG00000017795",287
"ENSRNOG00000061338",0
"ENSRNOG00000065787",0
"ENSRNOG00000068787",0
"ENSRNOG00000015657",0
"ENSRNOG00000064243",0
"ENSRNOG00000052607",6
"ENSRNOG00000052788",0
"ENSRNOG00000063641",0
"ENSRNOG00000046320",0
"ENSRNOG00000042133",0
"ENSRNOG00000031648",0
"ENSRNOG00000064592",0
"ENSRNOG00000069350",0
"ENSRNOG00000054005",0
"ENSRNOG00000069982",0
"ENSRNOG00000052319",37
"ENSRNOG00000035639",0
"ENSRNOG00000027542",10
"ENSRNOG00000067371",0
"ENSRNOG00000065457",2
"ENSRNOG00000009748",0
"ENSRNOG00000037333",0
"ENSRNOG00000063106",0
"ENSRNOG00000061755",0
"ENSRNOG00000064493",2
"ENSRNOG00000021478",89
"ENSRNOG00000017330",20
"ENSRNOG00000062409",0
"ENSRNOG00000065302",0
"ENSRNOG00000018090",1331
"ENSRNOG00000069157",27
"ENSRNOG00000068228",0
"ENSRNOG00000069767",0
"ENSRNOG00000070519",97
"ENSRNOG00000067269",0
"ENSRNOG00000057952",20
"ENSRNOG00000059329",0
"ENSRNOG00000015230",334
"ENSRNOG00000017069",440
"ENSRNOG00000021013",1061
"ENSRNOG00000066830",0
"ENSRNOG00000033009",0
"ENSRNOG00000065333",0
"ENSRNOG00000067419",0
"ENSRNOG00000061678",1
"ENSRNOG00000059948",0
"ENSRNOG00000018677",2426
"ENSRNOG00000057111",0
"ENSRNOG00000069344",0
"ENSRNOG00000070554",97
"ENSRNOG00000054517",1
"ENSRNOG00000063145",0
"ENSRNOG00000069038",0
"ENSRNOG00000056439",0
"ENSRNOG00000069280",0
"ENSRNOG00000066733",0
"ENSRNOG00000064096",0
"ENSRNOG00000019207",23
"ENSRNOG00000018394",32
"ENSRNOG00000015760",0
"ENSRNOG00000070234",55
"ENSRNOG00000053284",0
"ENSRNOG00000068834",0
"ENSRNOG00000030326",0
"ENSRNOG00000063681",0
"ENSRNOG00000065437",0
"ENSRNOG00000063629",131
"ENSRNOG00000049574",0
"ENSRNOG00000016714",19
"ENSRNOG00000052956",0
"ENSRNOG00000070270",0
"ENSRNOG00000068102",0
"ENSRNOG00000035648",0
"ENSRNOG00000067645",11
"ENSRNOG00000062789",0
"ENSRNOG00000015764",0
"ENSRNOG00000067256",0
"ENSRNOG00000015734",1051
"ENSRNOG00000067158",0
"ENSRNOG00000056404",0
"ENSRNOG00000063252",1
"ENSRNOG00000066619",0
"ENSRNOG00000052832",0
"ENSRNOG00000056469",0
"ENSRNOG00000068800",607
"ENSRNOG00000066170",0
"ENSRNOG00000066949",0
"ENSRNOG00000062681",40
"ENSRNOG00000067889",0
"ENSRNOG00000066931",0
"ENSRNOG00000066273",0
"ENSRNOG00000066991",0
"ENSRNOG00000069276",629
"ENSRNOG00000059393",0
"ENSRNOG00000015769",0
"ENSRNOG00000013711",0
"ENSRNOG00000062961",0
"ENSRNOG00000069666",0
"ENSRNOG00000056619",0
"ENSRNOG00000054452",6
"ENSRNOG00000051537",0
"ENSRNOG00000064145",84
"ENSRNOG00000057094",0
"ENSRNOG00000068142",0
"ENSRNOG00000055112",0
"ENSRNOG00000062973",0
"ENSRNOG00000062771",0
"ENSRNOG00000027808",4
"ENSRNOG00000033200",0
"ENSRNOG00000060056",0
"ENSRNOG00000055997",0
"ENSRNOG00000070611",0
"ENSRNOG00000069419",0
"ENSRNOG00000063442",0
"ENSRNOG00000069337",0
"ENSRNOG00000049772",468
"ENSRNOG00000053859",562
"ENSRNOG00000066647",1034
"ENSRNOG00000054388",0
"ENSRNOG00000066887",1
"ENSRNOG00000053929",1
"ENSRNOG00000030275",0
"ENSRNOG00000018915",0
"ENSRNOG00000051409",0
"ENSRNOG00000020358",3279
"ENSRNOG00000068758",0
"ENSRNOG00000063955",0
"ENSRNOG00000066355",1
"ENSRNOG00000066028",2
"ENSRNOG00000064903",0
"ENSRNOG00000065819",0
"ENSRNOG00000054102",0
"ENSRNOG00000058869",0
"ENSRNOG00000064667",12
"ENSRNOG00000053502",4507
"ENSRNOG00000065888",0
"ENSRNOG00000021442",612
"ENSRNOG00000064160",0
"ENSRNOG00000015785",0
"ENSRNOG00000068866",0
"ENSRNOG00000066023",279
"ENSRNOG00000014278",546
"ENSRNOG00000049605",39
"ENSRNOG00000024016",0
"ENSRNOG00000055316",1
"ENSRNOG00000063802",0
"ENSRNOG00000057140",0
"ENSRNOG00000022921",0
"ENSRNOG00000054856",0
"ENSRNOG00000037360",18
"ENSRNOG00000015902",11
"ENSRNOG00000065017",0
"ENSRNOG00000020624",2007
"ENSRNOG00000060363",0
"ENSRNOG00000065994",0
"ENSRNOG00000058025",0
"ENSRNOG00000013981",150
"ENSRNOG00000065346",0
"ENSRNOG00000021290",0
"ENSRNOG00000062884",0
"ENSRNOG00000019942",1
"ENSRNOG00000021912",0
"ENSRNOG00000059083",0
"ENSRNOG00000059239",0
"ENSRNOG00000030818",87
"ENSRNOG00000065632",0
"ENSRNOG00000070760",2
"ENSRNOG00000062307",0
"ENSRNOG00000071202",0
"ENSRNOG00000068808",0
"ENSRNOG00000056693",0
"ENSRNOG00000055223",0
"ENSRNOG00000064515",242
"ENSRNOG00000017930",673
"ENSRNOG00000043280",0
"ENSRNOG00000065092",1
"ENSRNOG00000060826",0
"ENSRNOG00000066535",0
"ENSRNOG00000068810",0
"ENSRNOG00000070274",0
"ENSRNOG00000063371",532
"ENSRNOG00000060965",0
"ENSRNOG00000052241",0
"ENSRNOG00000068809",403
"ENSRNOG00000058946",0
"ENSRNOG00000019869",41
"ENSRNOG00000062374",23
"ENSRNOG00000068664",0
"ENSRNOG00000063801",1
"ENSRNOG00000067318",96
"ENSRNOG00000013208",0
"ENSRNOG00000059321",1
"ENSRNOG00000052179",0
"ENSRNOG00000050189",0
"ENSRNOG00000067212",1
"ENSRNOG00000055161",3
"ENSRNOG00000065356",0
"ENSRNOG00000023411",386
"ENSRNOG00000046005",47236
"ENSRNOG00000054718",0
"ENSRNOG00000018686",4589
"ENSRNOG00000063261",169
"ENSRNOG00000068139",0
"ENSRNOG00000066980",0
"ENSRNOG00000070788",0
"ENSRNOG00000066529",0
"ENSRNOG00000058906",3
"ENSRNOG00000066097",0
"ENSRNOG00000069563",36
"ENSRNOG00000062703",6
"ENSRNOG00000070309",14
"ENSRNOG00000048810",0
"ENSRNOG00000053089",7
"ENSRNOG00000057890",0
"ENSRNOG00000052503",0
"ENSRNOG00000017408",425
"ENSRNOG00000037393",0
"ENSRNOG00000021794",307
"ENSRNOG00000069938",2
"ENSRNOG00000070568",1
"ENSRNOG00000013949",3586
"ENSRNOG00000064463",2
"ENSRNOG00000067383",0
"ENSRNOG00000052712",0
"ENSRNOG00000065858",36
"ENSRNOG00000016103",304
"ENSRNOG00000034012",0
"ENSRNOG00000070335",0
"ENSRNOG00000065589",0
"ENSRNOG00000068668",0
"ENSRNOG00000033164",0
"ENSRNOG00000036811",0
"ENSRNOG00000055001",11
"ENSRNOG00000067782",0
"ENSRNOG00000020643",1269
"ENSRNOG00000018217",6
"ENSRNOG00000064778",0
"ENSRNOG00000058615",2
"ENSRNOG00000065642",0
"ENSRNOG00000070200",0
"ENSRNOG00000057923",0
"ENSRNOG00000058790",779
"ENSRNOG00000069125",0
"ENSRNOG00000063149",0
"ENSRNOG00000064646",0
"ENSRNOG00000020371",243
"ENSRNOG00000064021",0
"ENSRNOG00000061803",0
"ENSRNOG00000064115",0
"ENSRNOG00000014996",229
"ENSRNOG00000067296",341
"ENSRNOG00000064765",3
"ENSRNOG00000018742",0
"ENSRNOG00000067148",0
"ENSRNOG00000058967",0
"ENSRNOG00000017914",5917
"ENSRNOG00000071136",0
"ENSRNOG00000061806",0
"ENSRNOG00000014705",164
"ENSRNOG00000016993",0
"ENSRNOG00000055479",0
"ENSRNOG00000029732",0
"ENSRNOG00000063130",0
"ENSRNOG00000057436",0
"ENSRNOG00000070027",582
"ENSRNOG00000016812",0
"ENSRNOG00000009932",3
"ENSRNOG00000035046",0
"ENSRNOG00000071197",0
"ENSRNOG00000022353",0
"ENSRNOG00000026440",0
"ENSRNOG00000067997",0
"ENSRNOG00000067291",0
"ENSRNOG00000036807",0
"ENSRNOG00000020865",1939
"ENSRNOG00000065706",0
"ENSRNOG00000058965",0
"ENSRNOG00000069287",0
"ENSRNOG00000020714",522
"ENSRNOG00000015825",492
"ENSRNOG00000062901",2
"ENSRNOG00000070787",0
"ENSRNOG00000058927",0
"ENSRNOG00000031086",1
"ENSRNOG00000057950",0
"ENSRNOG00000067561",0
"ENSRNOG00000017016",0
"ENSRNOG00000070889",0
"ENSRNOG00000064500",15
"ENSRNOG00000070820",0
"ENSRNOG00000014840",49
"ENSRNOG00000064970",17
"ENSRNOG00000058110",3
"ENSRNOG00000057480",0
"ENSRNOG00000059637",0
"ENSRNOG00000025060",15
"ENSRNOG00000063721",0
"ENSRNOG00000030127",191
"ENSRNOG00000069682",0
"ENSRNOG00000066099",189
"ENSRNOG00000027098",1
"ENSRNOG00000017138",0
"ENSRNOG00000058367",0
"ENSRNOG00000067414",2
"ENSRNOG00000017311",20
"ENSRNOG00000020131",0
"ENSRNOG00000066800",0
"ENSRNOG00000019270",189
"ENSRNOG00000066986",265
"ENSRNOG00000018762",129
"ENSRNOG00000057414",0
"ENSRNOG00000069528",15
"ENSRNOG00000067989",0
"ENSRNOG00000015956",168
"ENSRNOG00000018019",17
"ENSRNOG00000046036",389
"ENSRNOG00000051903",0
"ENSRNOG00000018541",0
"ENSRNOG00000070487",0
"ENSRNOG00000065449",4
"ENSRNOG00000015268",0
"ENSRNOG00000069855",0
"ENSRNOG00000065828",0
"ENSRNOG00000063461",5
"ENSRNOG00000064593",0
"ENSRNOG00000069644",1
"ENSRNOG00000064985",0
"ENSRNOG00000016372",976
"ENSRNOG00000067872",0
"ENSRNOG00000057858",49
"ENSRNOG00000063677",2
"ENSRNOG00000064099",0
"ENSRNOG00000060031",1
"ENSRNOG00000017143",0
"ENSRNOG00000058913",0
"ENSRNOG00000055560",2
"ENSRNOG00000058451",4
"ENSRNOG00000065835",22
"ENSRNOG00000063775",0
"ENSRNOG00000049759",0
"ENSRNOG00000070824",0
"ENSRNOG00000064277",0
"ENSRNOG00000068327",855
"ENSRNOG00000019812",1689
"ENSRNOG00000013448",0
"ENSRNOG00000070842",27
"ENSRNOG00000050486",0
"ENSRNOG00000060311",2
"ENSRNOG00000064747",0
"ENSRNOG00000025940",5106
"ENSRNOG00000057115",0
"ENSRNOG00000059590",0
"ENSRNOG00000070257",42
"ENSRNOG00000053764",0
"ENSRNOG00000062436",2
"ENSRNOG00000062663",0
"ENSRNOG00000020393",2263
"ENSRNOG00000067076",45
"ENSRNOG00000060156",6
"ENSRNOG00000052300",3
"ENSRNOG00000063644",0
"ENSRNOG00000064992",2
"ENSRNOG00000066765",0
"ENSRNOG00000014969",1072
"ENSRNOG00000054315",0
"ENSRNOG00000053158",0
"ENSRNOG00000010840",1385
"ENSRNOG00000070884",4
"ENSRNOG00000068967",0
"ENSRNOG00000065947",0
"ENSRNOG00000042927",0
"ENSRNOG00000067278",902
"ENSRNOG00000010308",2422
"ENSRNOG00000066280",0
"ENSRNOG00000064771",0
"ENSRNOG00000017277",115
"ENSRNOG00000046395",2
"ENSRNOG00000069063",0
"ENSRNOG00000061138",1
"ENSRNOG00000013426",268
"ENSRNOG00000017851",104
"ENSRNOG00000042465",0
"ENSRNOG00000062533",0
"ENSRNOG00000066205",2
"ENSRNOG00000068788",7
"ENSRNOG00000056942",5
"ENSRNOG00000065112",342
"ENSRNOG00000059323",1
"ENSRNOG00000068353",9
"ENSRNOG00000062431",0
"ENSRNOG00000065285",3
"ENSRNOG00000015058",1
"ENSRNOG00000061556",2
"ENSRNOG00000011439",463
"ENSRNOG00000017635",3914
"ENSRNOG00000056397",6
"ENSRNOG00000055386",0
"ENSRNOG00000038625",0
"ENSRNOG00000068081",360
"ENSRNOG00000065098",569
"ENSRNOG00000029394",53
"ENSRNOG00000065322",0
"ENSRNOG00000060079",0
"ENSRNOG00000017884",269
"ENSRNOG00000060321",0
"ENSRNOG00000067323",0
"ENSRNOG00000068609",0
"ENSRNOG00000069170",5
"ENSRNOG00000066570",0
"ENSRNOG00000064417",93
"ENSRNOG00000021082",7891
"ENSRNOG00000058132",0
"ENSRNOG00000053593",0
"ENSRNOG00000068507",0
"ENSRNOG00000063065",0
"ENSRNOG00000066269",143
"ENSRNOG00000020197",1359
"ENSRNOG00000069291",0
"ENSRNOG00000016687",3671
"ENSRNOG00000059273",0
"ENSRNOG00000059984",83
"ENSRNOG00000067834",0
"ENSRNOG00000053279",0
"ENSRNOG00000055124",5
"ENSRNOG00000022729",0
"ENSRNOG00000020363",2427
"ENSRNOG00000066299",5
"ENSRNOG00000056238",0
"ENSRNOG00000020871",2330
"ENSRNOG00000066283",1
"ENSRNOG00000033843",6424
"ENSRNOG00000029978",0
"ENSRNOG00000021151",562
"ENSRNOG00000053533",4
"ENSRNOG00000064808",0
"ENSRNOG00000017054",24
"ENSRNOG00000047429",0
"ENSRNOG00000018310",4
"ENSRNOG00000030404",30
"ENSRNOG00000052756",0
"ENSRNOG00000054533",11
"ENSRNOG00000069636",33
"ENSRNOG00000070724",3
"ENSRNOG00000021093",5
"ENSRNOG00000067564",634
"ENSRNOG00000069368",1
"ENSRNOG00000014004",597
"ENSRNOG00000047816",267
"ENSRNOG00000018433",314
"ENSRNOG00000032984",0
"ENSRNOG00000059173",0
"ENSRNOG00000063050",12
"ENSRNOG00000064276",0
"ENSRNOG00000055133",0
"ENSRNOG00000058564",0
"ENSRNOG00000055351",0
"ENSRNOG00000069212",0
"ENSRNOG00000063757",0
"ENSRNOG00000020925",956
"ENSRNOG00000068292",0
"ENSRNOG00000014327",0
"ENSRNOG00000046339",0
"ENSRNOG00000025163",0
"ENSRNOG00000063321",0
"ENSRNOG00000066499",1
"ENSRNOG00000060653",0
"ENSRNOG00000064594",2
"ENSRNOG00000063410",0
"ENSRNOG00000070917",149
"ENSRNOG00000055259",95
"ENSRNOG00000071167",5
"ENSRNOG00000055350",0
"ENSRNOG00000056883",0
"ENSRNOG00000062807",1
"ENSRNOG00000064168",1
"ENSRNOG00000043313",0
"ENSRNOG00000054059",0
"ENSRNOG00000069104",0
"ENSRNOG00000059438",0
"ENSRNOG00000051968",0
"ENSRNOG00000067201",0
"ENSRNOG00000062620",0
"ENSRNOG00000063405",0
"ENSRNOG00000012140",344
"ENSRNOG00000067084",0
"ENSRNOG00000014828",2671
"ENSRNOG00000065933",0
"ENSRNOG00000069668",0
"ENSRNOG00000020497",1073
"ENSRNOG00000070030",20
"ENSRNOG00000063751",0
"ENSRNOG00000028982",0
"ENSRNOG00000024630",1
"ENSRNOG00000025154",1115
"ENSRNOG00000014448",474
"ENSRNOG00000061255",0
"ENSRNOG00000058387",0
"ENSRNOG00000064171",0
"ENSRNOG00000071133",0
"ENSRNOG00000067993",0
"ENSRNOG00000057415",0
"ENSRNOG00000014266",0
"ENSRNOG00000055387",3
"ENSRNOG00000059739",0
"ENSRNOG00000066060",0
"ENSRNOG00000070360",0
"ENSRNOG00000067359",2
"ENSRNOG00000015753",1392
"ENSRNOG00000067461",17413
"ENSRNOG00000067992",0
"ENSRNOG00000052577",0
"ENSRNOG00000043392",0
"ENSRNOG00000053785",2
"ENSRNOG00000028781",0
"ENSRNOG00000053931",0
"ENSRNOG00000064547",0
"ENSRNOG00000070838",6
"ENSRNOG00000037156",0
"ENSRNOG00000046966",0
"ENSRNOG00000066001",0
"ENSRNOG00000056494",2
"ENSRNOG00000068067",0
"ENSRNOG00000054921",1
"ENSRNOG00000064885",38
"ENSRNOG00000054561",472
"ENSRNOG00000040387",0
"ENSRNOG00000052568",0
"ENSRNOG00000070839",8
"ENSRNOG00000065383",17
"ENSRNOG00000017351",0
"ENSRNOG00000070319",0
"ENSRNOG00000065720",0
"ENSRNOG00000011306",0
"ENSRNOG00000063169",29
"ENSRNOG00000069489",47
"ENSRNOG00000019491",704
"ENSRNOG00000051974",0
"ENSRNOG00000067353",0
"ENSRNOG00000019626",5
"ENSRNOG00000064994",58
"ENSRNOG00000031381",1167
"ENSRNOG00000070650",0
"ENSRNOG00000021153",291
"ENSRNOG00000063499",0
"ENSRNOG00000068216",0
"ENSRNOG00000036246",0
"ENSRNOG00000055625",1
"ENSRNOG00000023081",0
"ENSRNOG00000065572",0
"ENSRNOG00000053871",0
"ENSRNOG00000037137",33
"ENSRNOG00000014380",235
"ENSRNOG00000031224",0
"ENSRNOG00000035472",0
"ENSRNOG00000061593",0
"ENSRNOG00000056864",0
"ENSRNOG00000065938",0
"ENSRNOG00000017150",385
"ENSRNOG00000069774",0
"ENSRNOG00000057453",0
"ENSRNOG00000070032",0
"ENSRNOG00000015168",1
"ENSRNOG00000063014",35
"ENSRNOG00000022308",3
"ENSRNOG00000069196",0
"ENSRNOG00000020517",33
"ENSRNOG00000062805",0
"ENSRNOG00000057697",1
"ENSRNOG00000040448",0
"ENSRNOG00000060169",0
"ENSRNOG00000015717",90
"ENSRNOG00000015914",1771
"ENSRNOG00000068371",1
"ENSRNOG00000019141",5
"ENSRNOG00000035477",0
"ENSRNOG00000070492",0
"ENSRNOG00000067799",143
"ENSRNOG00000065673",0
"ENSRNOG00000049297",0
"ENSRNOG00000062842",0
"ENSRNOG00000016964",0
"ENSRNOG00000062738",0
"ENSRNOG00000040350",0
"ENSRNOG00000019582",478
"ENSRNOG00000055924",0
"ENSRNOG00000060840",0
"ENSRNOG00000019440",3
"ENSRNOG00000053539",0
"ENSRNOG00000064213",0
"ENSRNOG00000065361",16
"ENSRNOG00000060727",0
"ENSRNOG00000051483",0
"ENSRNOG00000036711",0
"ENSRNOG00000013149",343
"ENSRNOG00000036588",12
"ENSRNOG00000016979",0
"ENSRNOG00000019660",0
"ENSRNOG00000069238",0
"ENSRNOG00000057399",0
"ENSRNOG00000059980",0
"ENSRNOG00000067431",11
"ENSRNOG00000018048",734
"ENSRNOG00000062528",0
"ENSRNOG00000066334",0
"ENSRNOG00000010224",547
"ENSRNOG00000035506",0
"ENSRNOG00000067877",0
"ENSRNOG00000061439",0
"ENSRNOG00000051496",0
"ENSRNOG00000048582",0
"ENSRNOG00000066659",9
"ENSRNOG00000063596",21
"ENSRNOG00000068107",0
"ENSRNOG00000064996",0
"ENSRNOG00000064379",0
"ENSRNOG00000029043",491
"ENSRNOG00000017095",323
"ENSRNOG00000063176",1
"ENSRNOG00000067938",5
"ENSRNOG00000068714",0
"ENSRNOG00000067440",0
"ENSRNOG00000065650",0
"ENSRNOG00000061383",0
"ENSRNOG00000069476",0
"ENSRNOG00000018421",179
"ENSRNOG00000063080",0
"ENSRNOG00000019681",113
"ENSRNOG00000068965",0
"ENSRNOG00000035601",0
"ENSRNOG00000054609",5
"ENSRNOG00000064548",10
"ENSRNOG00000065353",0
"ENSRNOG00000070419",4
"ENSRNOG00000020202",378
"ENSRNOG00000017613",846
"ENSRNOG00000054831",0
"ENSRNOG00000064633",0
"ENSRNOG00000055519",72
"ENSRNOG00000065513",0
"ENSRNOG00000067923",1
"ENSRNOG00000066038",0
"ENSRNOG00000070260",0
"ENSRNOG00000011234",94
"ENSRNOG00000042706",0
"ENSRNOG00000059930",0
"ENSRNOG00000015997",122
"ENSRNOG00000066146",0
"ENSRNOG00000064983",77
"ENSRNOG00000015773",1
"ENSRNOG00000055020",69
"ENSRNOG00000062071",83
"ENSRNOG00000069729",2
"ENSRNOG00000068544",0
"ENSRNOG00000066969",116
"ENSRNOG00000069401",0
"ENSRNOG00000032990",0
"ENSRNOG00000063602",3
"ENSRNOG00000014251",1318
"ENSRNOG00000046649",0
"ENSRNOG00000066794",961
"ENSRNOG00000017214",0
"ENSRNOG00000067780",0
"ENSRNOG00000025539",2738
"ENSRNOG00000066862",459
"ENSRNOG00000012716",613
"ENSRNOG00000066116",0
"ENSRNOG00000063182",87
"ENSRNOG00000050922",41
"ENSRNOG00000047479",0
"ENSRNOG00000069497",118
"ENSRNOG00000016011",1
"ENSRNOG00000020014",122
"ENSRNOG00000070094",0
"ENSRNOG00000055082",2498
"ENSRNOG00000068838",14
"ENSRNOG00000019129",28
"ENSRNOG00000017960",400
"ENSRNOG00000056062",18
"ENSRNOG00000070653",0
"ENSRNOG00000064289",1
"ENSRNOG00000046683",0
"ENSRNOG00000052256",1536
"ENSRNOG00000062365",3
